127.0.0.1 - - [03/Nov/2018:21:46:50 +0800] "GET / HTTP/1.1" 404 1073
106.12.117.205 - - [03/Nov/2018:21:48:30 +0800] "GET /game-server/websocket HTTP/1.1" 101 -
113.66.104.224 - - [03/Nov/2018:22:51:53 +0800] "GET /game-server/websocket HTTP/1.1" 101 -
113.66.104.224 - - [03/Nov/2018:22:53:06 +0800] "GET /game-server/websocket HTTP/1.1" 101 -
113.66.104.224 - - [03/Nov/2018:22:56:49 +0800] "GET /game-server/websocket HTTP/1.1" 101 -
113.66.104.224 - - [03/Nov/2018:23:03:50 +0800] "GET /game-server/websocket HTTP/1.1" 101 -
113.66.104.224 - - [03/Nov/2018:23:05:44 +0800] "GET /game-server/websocket HTTP/1.1" 101 -
113.66.104.224 - - [03/Nov/2018:23:06:45 +0800] "GET /game-server/websocket HTTP/1.1" 101 -
113.66.104.224 - - [03/Nov/2018:23:08:11 +0800] "GET /game-server/websocket HTTP/1.1" 101 -
113.66.104.224 - - [03/Nov/2018:23:09:19 +0800] "GET /game-server/websocket HTTP/1.1" 101 -
113.66.104.224 - - [03/Nov/2018:23:10:18 +0800] "GET /game-server/websocket HTTP/1.1" 101 -
113.66.104.224 - - [03/Nov/2018:23:12:00 +0800] "GET /game-server/websocket HTTP/1.1" 101 -
113.66.104.224 - - [03/Nov/2018:23:13:15 +0800] "GET /game-server/websocket HTTP/1.1" 101 -
113.66.104.224 - - [03/Nov/2018:23:24:12 +0800] "GET /game-server/websocket HTTP/1.1" 101 -
113.66.104.224 - - [03/Nov/2018:23:25:54 +0800] "GET /game-server/websocket HTTP/1.1" 101 -
113.66.104.224 - - [03/Nov/2018:23:27:58 +0800] "GET /game-server/websocket HTTP/1.1" 101 -
113.66.104.224 - - [03/Nov/2018:23:28:16 +0800] "GET /game-server/websocket HTTP/1.1" 101 -
113.66.104.224 - - [03/Nov/2018:23:39:05 +0800] "GET /game-server/websocket HTTP/1.1" 101 -
113.66.104.224 - - [03/Nov/2018:23:40:11 +0800] "GET /game-server/websocket HTTP/1.1" 101 -
113.66.104.224 - - [03/Nov/2018:23:40:45 +0800] "GET /game-server/websocket HTTP/1.1" 101 -
113.66.104.224 - - [03/Nov/2018:23:41:01 +0800] "GET /game-server/websocket HTTP/1.1" 101 -
113.66.104.224 - - [03/Nov/2018:23:42:32 +0800] "GET /game-server/websocket HTTP/1.1" 101 -
113.66.104.224 - - [03/Nov/2018:23:43:51 +0800] "GET /game-server/websocket HTTP/1.1" 101 -
113.66.104.224 - - [03/Nov/2018:23:45:02 +0800] "GET /game-server/websocket HTTP/1.1" 101 -
113.66.104.224 - - [03/Nov/2018:23:45:30 +0800] "GET /game-server/websocket HTTP/1.1" 101 -
113.66.104.224 - - [03/Nov/2018:23:47:19 +0800] "GET /game-server/websocket HTTP/1.1" 101 -
